#  x座標 　y座標  波動関数密度 という順で出力してます
     0.54839     0.12903     0.01228
     0.54839     0.16129     0.02756
     0.54839     0.19355     0.05646
     0.54839     0.22581     0.10682
     0.54839     0.25806     0.18769
     0.54839     0.29032     0.30716
     0.54839     0.32258     0.46890
     0.54839     0.35484     0.66824
     0.54839     0.38710     0.88948
     0.54839     0.41935     1.10614
     0.54839     0.45161     1.28534
     0.54839     0.48387     1.39572
     0.54839     0.51613     1.41634
     0.54839     0.54839     1.34313
     0.54839     0.58065     1.19023
     0.54839     0.61290     0.98552
     0.54839     0.64516     0.76234
     0.54839     0.67742     0.55074
     0.54839     0.70968     0.37141
     0.54839     0.74194     0.23361
     0.54839     0.77419     0.13683
     0.54839     0.80645     0.07441
     0.54839     0.83871     0.03736
     0.54839     0.87097     0.01710
     0.54839     0.90323     0.00693
     0.54839     0.93548     0.00230
     0.54839     0.96774     0.00046
 
     0.58065     0.03226     0.00077
     0.58065     0.06452     0.00399
     0.58065     0.09677     0.01244
     0.58065     0.12903     0.03158
     0.58065     0.16129     0.07078
     0.58065     0.19355     0.14448
     0.58065     0.22581     0.27205
     0.58065     0.25806     0.47549
     0.58065     0.29032     0.77379
     0.58065     0.32258     1.17440
     0.58065     0.35484     1.66385
     0.58065     0.38710     2.20164
     0.58065     0.41935     2.72172
     0.58065     0.45161     3.14401
     0.58065     0.48387     3.39395
     0.58065     0.51613     3.42395
     0.58065     0.54839     3.22810
     0.58065     0.58065     2.84408
     0.58065     0.61290     2.34137
     0.58065     0.64516     1.80073
     0.58065     0.67742     1.29342
     0.58065     0.70968     0.86719
     0.58065     0.74194     0.54220
     0.58065     0.77419     0.31561
     0.58065     0.80645     0.17049
     0.58065     0.83871     0.08495
     0.58065     0.87097     0.03852
     0.58065     0.90323     0.01542
     0.58065     0.93548     0.00502
     0.58065     0.96774     0.00098
 
     0.61290     0.03226     0.00110
     0.61290     0.06452     0.00614
     0.61290     0.09677     0.01980
     0.61290     0.12903     0.05095
     0.61290     0.16129     0.11485
     0.61290     0.19355     0.23488
     0.61290     0.22581     0.44230
     0.61290     0.25806     0.77234
     0.61290     0.29032     1.25497
     0.61290     0.32258     1.90112
     0.61290     0.35484     2.68776
     0.61290     0.38710     3.54848
     0.61290     0.41935     4.37640
     0.61290     0.45161     5.04318
     0.61290     0.48387     5.43067
     0.61290     0.51613     5.46494
     0.61290     0.54839     5.13922
     0.61290     0.58065     4.51613
     0.61290     0.61290     3.70800
     0.61290     0.64516     2.84398
     0.61290     0.67742     2.03690
     0.61290     0.70968     1.36145
     0.61290     0.74194     0.84831
     0.61290     0.77419     0.49183
     0.61290     0.80645     0.26439
     0.61290     0.83871     0.13085
     0.61290     0.87097     0.05873
     0.61290     0.90323     0.02309
     0.61290     0.93548     0.00724
     0.61290     0.96774     0.00131
 
     0.64516     0.03226     0.00091
     0.64516     0.06452     0.00684
     0.64516     0.09677     0.02387
     0.64516     0.12903     0.06314
     0.64516     0.16129     0.14404
     0.64516     0.19355     0.29627
     0.64516     0.22581     0.55949
     0.64516     0.25806     0.97814
     0.64516     0.29032     1.58979
     0.64516     0.32258     2.40753
     0.64516     0.35484     3.40135
     0.64516     0.38710     4.48638
     0.64516     0.41935     5.52703
     0.64516     0.45161     6.36136
     0.64516     0.48387     6.84114
     0.64516     0.51613     6.87472
     0.64516     0.54839     6.45545
     0.64516     0.58065     5.66391
     0.64516     0.61290     4.64260
     0.64516     0.64516     3.55426
     0.64516     0.67742     2.54034
     0.64516     0.70968     1.69381
     0.64516     0.74194     1.05225
     0.64516     0.77419     0.60768
     0.64516     0.80645     0.32486
     0.64516     0.83871     0.15943
     0.64516     0.87097     0.07054
     0.64516     0.90323     0.02690
     0.64516     0.93548     0.00778
     0.64516     0.96774     0.00105
 
